2010_a,zip,2011_a,2012_a,2013_a,2010_s,2011_s,2012_s,2013_s,2010_r,2011_r,2012_r,2013_r,total_a,total_s,total_r
2529.0,11362.0,2776.0,2822.0,2656,155.0,124.0,138.0,137.0,0.0612890470542,0.0446685878963,0.0489014883062,0.0515813253012,10783.0,554.0,0.0513771677641
1854.0,11363.0,1701.0,1741.0,1425,71.0,69.0,53.0,43.0,0.0382955771305,0.0405643738977,0.0304422745549,0.0301754385965,6721.0,236.0,0.0351138223479
5035.0,11364.0,4716.0,4536.0,3958,198.0,211.0,196.0,246.0,0.0393247269116,0.0447413061917,0.0432098765432,0.0621526023244,18245.0,851.0,0.0466429158674
5932.0,11365.0,4857.0,4887.0,4461,216.0,188.0,208.0,188.0,0.0364126770061,0.0387070207947,0.0425618989155,0.0421430172607,20137.0,800.0,0.0397278641307
2861.0,11366.0,2716.0,2985.0,2322,92.0,88.0,108.0,78.0,0.0321565886054,0.0324005891016,0.0361809045226,0.0335917312661,10884.0,366.0,0.0336273428886
8433.0,11367.0,6772.0,6344.0,5286,356.0,315.0,289.0,282.0,0.0422151073165,0.0465150620201,0.0455548549811,0.0533484676504,26835.0,1242.0,0.0462828395752
13078.0,11368.0,12634.0,11673.0,10749,337.0,423.0,498.0,454.0,0.0257684661263,0.0334810827925,0.0426625546132,0.0422364871151,48134.0,1712.0,0.0355673744131
6756.0,11369.0,6019.0,5648.0,5107,208.0,233.0,182.0,214.0,0.0307874481942,0.0387107492939,0.032223796034,0.0419032700215,23530.0,837.0,0.0355716107097
3422.0,11370.0,3523.0,3465.0,3195,108.0,137.0,119.0,115.0,0.031560490941,0.03888731195,0.0343434343434,0.0359937402191,13605.0,479.0,0.0352076442484
44.0,11371.0,82.0,19.0,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0
9297.0,11372.0,8938.0,8900.0,8265,418.0,453.0,425.0,362.0,0.0449607400237,0.0506824793019,0.0477528089888,0.0437991530551,35400.0,1658.0,0.0468361581921
11736.0,11373.0,10774.0,11044.0,9384,378.0,417.0,422.0,388.0,0.0322085889571,0.038704288101,0.0382107931909,0.041346973572,42938.0,1605.0,0.037379477386
6044.0,11374.0,5972.0,5902.0,6140,286.0,319.0,300.0,293.0,0.047319655857,0.0534159410583,0.0508302270417,0.0477198697068,24058.0,1198.0,0.0497963255466
11991.0,11375.0,9599.0,9266.0,8875,586.0,568.0,633.0,546.0,0.0488699858227,0.0591728305032,0.0683142672135,0.0615211267606,39731.0,2333.0,0.0587198912688
13539.0,11377.0,12564.0,12183.0,10434,451.0,444.0,416.0,410.0,0.0333111751237,0.0353390639924,0.0341459410654,0.0392946137627,48720.0,1721.0,0.0353243021346
7550.0,11378.0,7559.0,6952.0,6416,235.0,268.0,240.0,260.0,0.0311258278146,0.0354544251885,0.0345224395857,0.0405236907731,28477.0,1003.0,0.0352214067493
6425.0,11379.0,5930.0,5627.0,5307,224.0,230.0,198.0,181.0,0.0348638132296,0.0387858347386,0.0351874888928,0.0341058978707,23289.0,833.0,0.0357679591223
19053.0,11385.0,17807.0,16753.0,15985,692.0,732.0,915.0,709.0,0.0363197396735,0.0411074296625,0.0546170835074,0.0443540819518,69598.0,3048.0,0.043794361907
3793.0,11411.0,3407.0,3348.0,2749,259.0,225.0,199.0,195.0,0.068283680464,0.066040504843,0.0594384707288,0.0709348854129,13297.0,878.0,0.0660299315635
7008.0,11412.0,7026.0,6777.0,6286,554.0,520.0,477.0,462.0,0.0790525114155,0.0740108169656,0.070385126162,0.0734966592428,27097.0,2013.0,0.0742886666421
